Street Name,From,To,Notes
Parkview Rd,Upton Rd,Waverley Oaks Rd,
Parsons Ave,,,"Doc says Beaver to Edwin is public, but GIS shows whole Ave as private"
Partidge Cir,,,
Pelham Rd,,,
Peterson Ave,,,Doesn't exist? Nova Biomedical
Phillips Cir,,,
Phillips Ter,,,
Piety Corner Rd,,,
Pigeon Ln,,,
Pine Hill Cir,9 Pine Hill Cir,Blossom St,"Doc Says 3 Pine Hill Cir, GIS shows 9, road condition supports 9"
Pine Hill Cir,Lakeview Ave,90 Pine Hill Cir,
Pine Vale Rd,,,
Plant Rd,Grove St,Westerly,
Pleasant Ave,,,
Plympton Ave,,,
Plympton Cir,,,
Pond End School Ln,,,
Pond St Ct,,,
Pratt Ave,,,
Priscilla Ln,,,
Putnam St,,,
Raffaele Dr,,,
Rando Ln,,,
Ravenswood Rd,,,
Richgrain Ave,20 Richgrain Ave,Colonial Ave,
Sibley Rd,Int of 128/95,East to Brandeis,GIS also shows 700' north of Intersection as private
River Ave,,,Privately owned
Riverside Dr,,,
Robbins Pl,,,Privately owned
Roberts Rd,,,"Private on document, public on GIS, tend to believe GIS"
Rogers Way,,,Camp Cedar Hill
Rose Hill Way,Main St,Neighbors Ln,
Roseanna Park Dr,,,
Rosemont Ave,Larchmont Ave,Sachem St,
Royal St,Arcadia Ave,Westerly,
Rutledge Ter,,,
Sachem St,,,
Sagamore Way,,,Charlesbank Apartments
Samoset Ln,,,
Sanders Ln,,,
Sawyer Rd,Past Rail Station,Mount Feake Cem,Not marked private on GIS
Seminole Ave,Hardy Pond Rd,Southernly to Trail,Marked public on GIS
Seyon St,,,
Shakespear Rd,,,
Shawmut Rd,,,
Sheridan Rd,,,
Shirley Rd,Upton Rd,NW to cul-de-sac,
Shore Rd,44 Shore Rd,Lakeview Ave,
Silver Hill Ln,,,
Smith Ct,,,Now a Chateau parking lot
Snow Cir,,,
South Fountain Ave,100 Felton St,Southern to MBTA,Exit of MBTA parking lot
Spencer St,,,"Doc shows private, but public in GIS"
Standish Ct,,,Privately owned
Stanley Rd,,,
Stearns Hill Rd,,,Windsor Village Apartments
Stone Rd,Main St,Northern,Owned by Garden Grove Condos
Stratton Ter,,,Privately owned
Summit Ave,Weston St,Virginia Rd,GIS only says up to Fairview Ave is private
Temple Rd,186 Temple Rd,South to end,
Thayer Rd,,,"Doc says its private, GIS shows public"
Third Ave,,,"Doc says its private, GIS shows public"
Tip Top Ter,,,
Totten Cir,,,
Tottens Ct,,,Entirely privately owned
Tracer Lane,,,"Now Data Drive, entirely privately owned"
Trimount Ave,Marivista Ave,Southerly,
Union St,,,
University Pk,,,Entirely privately owned
Valley View Rd,,,
Varnum Pk,,,
Viles Ct,,,Entirely privately owned
Villa Ave,Pleasant Ave,Easterly,
Wabasso St,,,Entirely privately owned
Wall St,McKenn St,Northernly,
Walls Ct,,,
Warren Ave,,,
Weir Rd,,,
West Ave,,,"Private on doc, public on GIS"
Westgate Rd,,,
Wetherbee Rd,271 Florence Rd,249 Florence Rd,
Whitcomb St,33 McKenn St,Northernly,
Whitford Ter,60 Dale St,Southernly,
Whitman Rd,48 Whitman Rd,Watertown Line,
Whitney Ave,,,
Whitney Ct,,,Entirely privately owned
Wight St,,,
Wildwood Ln,,,
Wilson Rd,,,No private sections in GIS
Wilton St,,,
Wingate Rd,,,
Winsom Ave,17 Winsom Ave,Aberdeen Ave,
Woodchester Cir,,,
Woodchester Rd,,,
Woodcliff Dr,,,
Woodland Rd,Jennings Rd,Wyola Prospect,
Worcester Ln,,,
Wycoma Way,,,Part of Charlesbank
Yetten Ter,,,Entirely privately owned
